Subject,Start Date,All Day Event,Description
オリエンテーション,03/31/2020,TRUE,
春学期開始,04/01/2020,TRUE,
オリエンテーション,04/01/2020,TRUE,
入学式（衣笠・BKC・OIC）,04/02/2020,TRUE,
オリエンテーション,04/03/2020,TRUE,
オリエンテーション,04/04/2020,TRUE,
春セメスター授業開始,04/06/2020,TRUE,
統一補講日①,04/25/2020,TRUE,
祝日授業日／昭和の日,04/29/2020,TRUE,
休日／みどりの日,05/04/2020,TRUE,
休日／こどもの日,05/05/2020,TRUE,
休日／振替休日,05/06/2020,TRUE,
統一補講日②,05/23/2020,TRUE,
授業日（水曜日分）,06/06/2020,TRUE,
統一補講日③,06/20/2020,TRUE,
統一補講日④,07/11/2020,TRUE,
春セメスター授業終了,07/21/2020,TRUE,
統一補講日⑤,07/22/2020,TRUE,
レポート試験統一締切日,07/22/2020,TRUE,
春セメスター定期試験開始／海の日,07/23/2020,TRUE,
定期試験日／スポーツの日,07/24/2020,TRUE,
定期試験日,07/25/2020,TRUE,
春セメスター定期試験終了,07/31/2020,TRUE,
定期試験予備日・夏期休暇開始,08/03/2020,TRUE,
追試験日,08/06/2020,TRUE,
追試験日,08/07/2020,TRUE,
追試験予備日,08/08/2020,TRUE,
再試験（薬学部のみ）,08/18/2020,TRUE,
再試験（薬学部のみ）,08/19/2020,TRUE,
再試験（薬学部のみ）,08/20/2020,TRUE,
再試験（薬学部のみ）,08/21/2020,TRUE,
再試験予備日（薬学部のみ）,08/22/2020,TRUE,
夏集中講義（第1週）開始,08/24/2020,TRUE,
夏集中講義（第1週）終了,08/29/2020,TRUE,
夏集中講義（第2週）開始,08/31/2020,TRUE,
春学期卒業合否発表日・成績発表日,09/04/2020,TRUE,
夏集中講義（第2週）終了,09/05/2020,TRUE,
夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日,09/18/2020,TRUE,
秋季卒業式／秋分の日,09/22/2020,TRUE,
オリエンテーション,09/24/2020,TRUE,
秋季入学式,09/25/2020,TRUE,
夏期休暇終了,09/25/2020,TRUE,
春学期終了,09/25/2020,TRUE,
秋学期開始,09/26/2020,TRUE,
秋セメスター授業開始,09/28/2020,TRUE,
統一補講日①,10/17/2020,TRUE,
祝日授業日／文化の日,11/03/2020,TRUE,
統一補講日②,11/07/2020,TRUE,
祝日授業日／勤労感謝の日,11/23/2020,TRUE,
統一補講日③,11/28/2020,TRUE,
統一補講日④,12/19/2020,TRUE,
冬期休暇開始,12/26/2020,TRUE,
冬期休暇終了,01/05/2021,TRUE,
秋セメスター授業再開,01/06/2021,TRUE,
授業日（月曜日分）,01/09/2021,TRUE,
休日／成人の日,01/11/2021,TRUE,
秋セメスター授業終了,01/19/2021,TRUE,
統一補講日⑤,01/20/2021,TRUE,
レポート試験統一締切日,01/20/2021,TRUE,
秋セメスター定期試験開始,01/21/2021,TRUE,
定期試験日,01/23/2021,TRUE,
秋セメスター定期試験終了,01/29/2021,TRUE,
定期試験予備日・春期休暇開始,01/30/2021,TRUE,
追試験日,02/04/2021,TRUE,
追試験日,02/05/2021,TRUE,
追試験予備日,02/06/2021,TRUE,
卒業合否発表日（薬学部薬学科のみ）,02/15/2021,TRUE,
再試験（薬学部のみ）,02/16/2021,TRUE,
再試験（薬学部のみ）,02/17/2021,TRUE,
再試験（薬学部のみ）,02/18/2021,TRUE,
再試験（薬学部のみ）,02/19/2021,TRUE,
再試験予備日（薬学部のみ）,02/20/2021,TRUE,
秋学期卒業合否発表日・成績発表日,03/05/2021,TRUE,
冬集中科目成績発表日,03/18/2021,TRUE,
卒業式（OIC）／春分の日,03/20/2021,TRUE,
卒業式（衣笠）,03/21/2021,TRUE,
卒業式（BKC）,03/22/2021,TRUE,
春期休暇終了,03/31/2021,TRUE,
